page,institution,sn,programme,code,admission_requirements,minimum_points,capacity,duration_years,problems
327,"University of Dodoma (UDOM), Dodoma",4.,Bachelor of Science in Information Systems,DM004,"Two principal passes in Advanced Mathematics and one of the following subjects: Physics, Chemistry, Computer Science, Geography, Economics, Business Studies, Accountancy and Biology. If one of the principal passes is not in Advanced Mathematics, an applicant must have a subsidiary pass in Basic Applied Mathematics.",4.0,80,3,
328,"University of Dodoma ( UDOM), Dodoma",5.,Bachelor of Science in Software Engineering,DM005,Two principal passes in Mathematics and either Physics or Computer Science.,4.0,80,4,
328,"University of Dodoma ( UDOM), Dodoma",6.,Bachelor of Information Technology with Business Analytics,DM006,"Two principal passes in Advanced Mathematics or Economics and one of the following subjects: Physics, Computer Science, Geography, Chemistry, Biology, Accountancy, Business Studies or Commerce. If one of the principal passes is not in Advanced Mathematics or Economics, an applicant must have a subsidiary pass in Basic Applied Mathematics.",4.0,80,3,
329,"University of Dodoma (UDOM), Dodoma",7.,Bachelor of Science in Computer Engineering,DM007,Two principal passes in Advanced Mathematics Mathematics and either Physics or Computer Science.,4.0,80,4,
329,"University of Dodoma (UDOM), Dodoma",8.,Bachelor of Science in Telecommunications Engineering,DM008,Two principal passes in Advanced Mathematics and Physics.,4.0,100,4,
329,"University of Dodoma (UDOM), Dodoma",9.,Bachelor of Science in Applied Physics,DM009,"Two principal passes at “C” grade in Physics and “D” grade in the following subjects: Advanced Mathematics, Chemistry, Computer Science, Biology or Geography.",4.0,100,3,
329,"University of Dodoma (UDOM), Dodoma",10.,Bachelor of Science in Chemistry,DM010,"Two principal passes in Chemistry and in one of the following subjects: Physics, Mathematics, Biology, Geography or Nutrition. A minimum of C” grade in Chemistry at A-Level.",4.0,150,3,
330,"University of Dodoma (UDOM), Dodoma",11.,Bachelor of Science in Biology,DM011,"Two principal passes at “D” grade in Biology and in the following subjects: Nutrition, Agriculture, Chemistry,Physics or Geography.",4.0,210,3,
330,"University of Dodoma (UDOM), Dodoma",12.,Bachelor of Science in Mathematics,DM012,"Two principal passes at a minimum of “D” grade in Advanced Mathematics and in one of the following subjects: Geography, Economics, Commerce, Accountancy, Physics, Chemistry, or Computer Science.",4.0,160,3,
330,"University of Dodoma (UDOM), Dodoma",13.,Bachelor of Science in Statistics,DM013,"Two principal passes at a minimum of “D” grade in Advanced Mathematics and in one of the following subjects: Geography, Economics, Commerce, Accountancy, Physics, Business Studies, Chemistry or Computer Science.",4.0,130,3,
330,"University of Dodoma (UDOM), Dodoma",14.,Bachelor of Science in Applied Geology,DM014,"Two principal passes in the following subjects: Advanced Mathematics, Physics, Chemistry, Biology or Geography. In addition, an applicant MUST HAVE a minimum of “C” grade in Physics and Chemistry at O-level.",4.0,40,3,
331,"University of Dodoma (UDOM), Dodoma",15.,Bachelor of Science in Mining Engineering,DM015,"Two principal passes at “D” grade in Advanced Mathematics and Physics. In addition, an applicant MUST HAVE a minimum of “E” grade in either Chemistry or Geography at A- Level.",4.0,40,4,
331,"University of Dodoma (UDOM), Dodoma",16.,Bachelor of Science in Metallurgy and Mineral Processing Engineering,DM016,"Two principal passes at “D” grade in Advanced Mathematics and Chemistry. In addition, an applicant MUST HAVE a minimum of “E” grade in Physics at A-Level.",5.0,40,4,
331,"University of Dodoma (UDOM), Dodoma",17.,Bachelor of Arts in History and Cultural Heritage,DM018,"Two principal passes in History and one of the following subjects: Geography, Kiswahili, English Language, French, Arabic, Fine Arts or Economics.",4.0,180,3,
332,"University of Dodoma (UDOM), Dodoma",18.,Bachelor of Arts in English,DM020,"Two principal passes in English Language and one of the following subjects: Geography, Kiswahili, History, Chinese, French, Arabic, Fine Arts or Economics.",4.0,80,3,
332,"University of Dodoma (UDOM), Dodoma",19.,Bachelor of Arts in French,DM021,"Two principal passes in French and one of the following subjects: Kiswahili, Chinese and English Language.",4.0,40,3,
332,"University of Dodoma (UDOM), Dodoma",20.,Bachelor of Arts in Cultural Heritage and Tourism,DM023,"Two principal passes in the following subjects: History, Kiswahili, English, French, Geography, Physical Education, Chinese or Fine Arts.",4.0,250,3,
332,"University of Dodoma (UDOM), Dodoma",21.,Bachelor of Arts in Theatre and Film,DM024,"Two principal passes in the following subjects: History, Kiswahili, English, French, Geography, Arabic, Physics, Biology, Advanced Mathematics, Physical Education, Commerce, Accountancy, Economics or Fine Arts.",4.0,100,3,
332,"University of Dodoma (UDOM), Dodoma",22.,Bachelor of Arts in Fine Arts and Design,DM025,"Two principal passes in the following subjects: History, Kiswahili, English, French, Geography, Arabic, Economics, Commerce, Accountancy, Advanced Mathematics, Physics, Computer Science, Chemistry, Physical Education, Biology or Fine Arts",4.0,100,3,
333,"University of Dodoma (UDOM), Dodoma",23.,Bachelor of Arts in Economics,DM027,"Two principal passes in the following subjects at A level: Physics, Chemistry, Advanced Mathematics, Biology, Geography, Economics, Commerce, Agriculture, Food and Human Nutrition, Business Studies, Accountancy, Computer Science. If one of the principal passes is not in Advanced Mathematics, an applicant MUST HAVE at least a subsidiary pass in Basic Applied Mathematics or a minimum of “D” grade in Basic Mathematics at O-level.",4.0,60,3,
334,"University of Dodoma (UDOM), Dodoma",25.,Bachelor of Arts in Political Science and Public Administration,DM030,"Two principal passes in the following subjects: History, Geography, Kiswahili, English or French.",4.0,250,3,
334,"University of Dodoma (UDOM), Dodoma",26.,Bachelor of Geography and Environmental Management,DM031,"Two principal passes in Geography and one from thefollowingsubjects:History,Economics,Agriculture ,Chemistry,Mathematics,Physics or Biology.",4.0,300,3,
334,"University of Dodoma (UDOM), Dodoma",27.,Bachelor of Arts in Sociology,DM032,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Physics, Chemistry, Mathematics, Biology,Agriculture, Nutrition, Commerce, Accountancy, Chinese or Economics.",4.0,200,3,
334,"University of Dodoma (UDOM), Dodoma",28.,Bachelor of Business Administration,DM033,"Two principal passes in the following subjects History, Geography, Kiswahili, Fasihi ya Kiswahili English Language, Literature in English, French, Arabic, Chinese, Fine Arts, Theater Arts, Music, Textile and Garment Construction, Sports, Economics, Commerce, Accountancy, Business Studies, Physics, Chemistry, Biology, Advanced Mathematics,",4.0,110,3,
336,"University of Dodoma (UDOM), Dodoma",29.,Bachelor of Commerce in Accounting,DM034,"Two principal passes in the following subjects at A-level: Geography, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science, Nutrition or Business Studies. If one of the principal passes is not in Advanced Mathematics, an applicant MUST HAVE at least a subsidiary pass in Basic Applied Mathematics. or a minimum of “C” grade in Basic Mathematics at O-Level.",4.0,110,3,
337,"University of Dodoma (UDOM), Dodoma",30.,Bachelor of Commerce in Finance,DM035,"Two principal passes in the following subjects: Geography, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science, Nutrition or Business Studies. If one of the principal passes is not in Advanced Mathematics, an applicant MUST HAVE at least a subsidiary pass in Basic Applied Mathematics",4.0,110,3,
337,"University of Dodoma (UDOM), Dodoma",31.,Bachelor of Commerce in Human Resource Management,DM036,"Two principal passes in the following subjects: History, Geography, Kiswahili, Fasihi ya Kiswahili English Language, Literature in English, French, Arabic, Chinese, Fine Arts, Theater Arts, Music, Textile and Garment Construction, Sports, Commerce, Accountancy, Business Studies, Physics, Chemistry, Biology, Advanced Mathematics, Economics, Agriculture, Computer",4.0,60,3,
