page,institution,sn,programme,code,admission_requirements,minimum_points,capacity,duration_years,problems
86,"Institute of Accountancy Arusha (IAA), Dar es Salaam Campus",3.,Bachelor Degree in Information Technology,IAD03,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Art, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If one of the principal passes is not in Advanced Mathematics, an applicant must",4.0,50,3,
88,"Institute of Accountancy Arusha (IAA), Babati Campus",1.,Bachelor of Accounting with Information Technology,IAB01,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Art, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If one of the principal passes is not in Advanced Mathematics an applicant must have at least a subsidiary pass or a minimum of “D”grade in Mathematics at O-Level OR the Foundation Programme of the OUT with a minimum GPA of 3.0.",4.0,55,3,
89,"Institute of Adult Education (IAE), Dar es Salaam",1.,Bachelor Degree in Adult and Continuing Education,AE001,"Two principal passes in the following subjects: History, Geography, Kiswahili or English Language",4.0,150,3,
89,"Institute of Adult Education (IAE), Dar es Salaam",2.,Bachelor Degree in Adult Education and Community Development,AE002,"Two principal passes in the following subjects: History, Geography, Kiswahili or English Language",4.0,150,3,
89,"Institute of Adult Education (IAE), Dar es Salaam",3.,Bachelor Degree in Adult Education and Community Development (ODL),AE003,"Two principal passes in the following subjects: History, Geography, Kiswahili or English Language.",4.0,150,3,
89,"Institute of Adult Education (IAE), Dar es Salaam",4.,Bachelor Degree in Adult and Continuing Education (ODL),AE004,"Two principal passes in the following subjects: History, Geography, Kiswahili or English Language",4.0,100,3,
90,"Institute of Finance Management (IFM), Dar es Salaam",1.,Bachelor of Accounting,IF001,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Chinese, Arabic, Fine Art, Physical Education, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a credit at O-Level.",4.0,300,3,
90,"Institute of Finance Management (IFM), Dar es Salaam",2.,Bachelor of Banking and Finance,IF002,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Chinese, Arabic, Fine Art, Physical Education, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a credit at O-Level.",4.0,250,3,
91,"Institute of Finance Management (IFM), Dar es Salaam",3.,Bachelor of Science in Information Technology,IF003,"Two principal passes, one in Physics, Chemistry or Advanced Mathematics and one in the following subjects Biology, Geography, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a credit at O-Level.",4.0,300,3,
91,"Institute of Finance Management (IFM), Dar es Salaam",4.,Bachelor of Science in Insurance and Risk Management,IF004,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Chinese, Arabic, Fine Art, Physical Education, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,300,3,
91,"Institute of Finance Management (IFM), Dar es Salaam",5.,Bachelor of Science in Social Protection,IF005,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Chinese, Arabic, Fine Art, Physical Education, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,300,3,
92,"Institute of Finance Management (IFM), Dar es Salaam",6.,Bachelor of Science in Tax Management,IF006,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Chinese, Arabic, Fine Art, Physical Education, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a credit at O-Level.",4.0,350,3,
92,"Institute of Finance Management (IFM), Dar es Salaam",7.,Bachelor of Science in Computer Science,IF007,"Two principal passes in Physics, Computer Science and Advanced Mathematics.",4.0,350,3,
92,"Institute of Finance Management (IFM), Dar es Salaam",8.,Bachelor of Science in Actuarial Sciences,IF008,"Two principal passes in Advanced Mathematics and one of the following subjects: Physics, Chemistry, Biology, Geography, Economics, Physical Education, Agriculture, Computer Science or Nutrition. Those without a principal pass in Advanced Mathematics must have a “B” grade at O-Level in Basic Mathematics.",4.0,35,3,
93,"Institute of Finance Management (IFM), Dar es Salaam",9.,Bachelor of Economics and Finance,IF009,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Chinese, Arabic, Fine Art, Physical Education, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or Basic Applied Mathematics or Accountancy or Economics must have a minimum of “C” grade in Mathematics at O-Level Mathematics or Commerce.",4.0,150,3,
93,"Institute of Finance Management (IFM), Dar es Salaam",10.,Bachelor of Accounting with Information Technology,IF010,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Chinese, Arabic, Fine Art, Physical Education, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a credit at O-Level.",4.0,300,3,
94,"Institute of Finance Management (IFM), Dar es Salaam",11.,Bachelor in Cyber Security,IF011,"Two principal passes in the following subjects Physics, Computer Science and Advanced Mathematics.",4.0,50,3,
94,"Institute of Finance Management (IFM), Dar es Salaam",12.,Bachelor of Computer Network Systems,IF012,"Two principal passes in Physics, Computer Science and Advanced Mathematics.",4.0,100,3,
94,"Institute of Finance Management (IFM), Dar es Salaam",13.,Bachelor of Applied Data Analytics,IF013,"Two principal passes in the following subjects: Advanced Mathematics, Physics, Chemistry, Biology, Accountancy, Agriculture, Geography, Computers, Economics, Commerce, Business Studies, Education, Food & Nutrition and Computer Science. If one of the principal passes is not in Advanced Mathematics, a subsidiary pass in Basic Applied Mathematics or a minimum of “D"" grade in Mathematics at O-Level is required.",4.0,100,3,
95,"Institute of Finance Management (IFM), Dodoma",1.,Bachelor of Accounting,IFD01,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Art, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a minimum of “C” grade in Mathematics at O-Level.",4.0,34,3,
95,"Institute of Finance Management (IFM), Dodoma",2.,Bachelor of Banking and Finance,IFD02,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Art, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a minimum of “C” grade in Mathematics at O-Level.",4.0,34,3,
96,"Institute of Finance Management (IFM), Mwanza",1.,Bachelor of Accounting,IFM01,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Art, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a minimum of “C” grade in Mathematics at O-Level.",4.0,50,3,
96,"Institute of Finance Management (IFM), Mwanza",2.,Bachelor of Banking and Finance,IFM02,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Art, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a minimum of “C” grade in Mathematics at O-Level.",4.0,50,3,
96,"Institute of Finance Management (IFM), Mwanza",3.,Bachelor of Science in Insurance and Risk Management,IFM03,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Art, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,100,3,
97,"Institute of Finance Management (IFM), Mwanza",4,Bachelor of Science in Economics and Finance,IFM04,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Chinese, Arabic, Fine Art, Physical Education, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or Basic Applied Mathematics or Accountancy or Economics must have a minimum of “C” grade in Mathematics at O-Level Mathematics or Commerce.",4.0,120,3,
98,"Institute of Finance Management (IFS), Simiyu",1.,Bachelor of Accounting,IFS01,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Art, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a minimum of “C” grade in Mathematics at O-Level.",4.0,100,3,
98,"Institute of Finance Management (IFS), Simiyu",2.,Bachelor of Banking and Finance,IFS02,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Art, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Those without a principal pass or a subsidiary pass in Advanced Mathematics or a pass in Basic Applied Mathematics must have a minimum of “C” grade in Mathematics at O-Level.",4.0,100,3,
99,"Institute of Public Administration (IPA), Zanzibar",1.,Bachelor Degree in International Relations and Diplomacy,IPA01,"Two Principal Passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,40,3,
99,"Institute of Public Administration (IPA), Zanzibar",2.,Bachelor Degree in Human Resource Management,IPA02,"Two Principal Passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,40,3,
99,"Institute of Public Administration (IPA), Zanzibar",3.,Bachelor Degree in Records and Achieves Management,IPA03,"Two Principal Passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,40,3,
100,"Institute of Public Administration (IPA), Zanzibar",4.,Bachelor Degree in Development Planning,IPA04,"Two Principal Passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,40,3,
101,"Institute of Rural Development Planning (IRDP), Dodoma",1.,Bachelor Degree in Development Finance and Investment Planning,RD001,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Nutrition, Agriculture, Biology, English Language, Literature, Physics, Chemistry, French, Arabic, Fine Arts, Computer Science, Physical Education, Accountancy.",4.0,300,3,
101,"Institute of Rural Development Planning (IRDP), Dodoma",2.,Bachelor Degree in Environmental Planning and Management,RD002,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Nutrition, Agriculture, Biology, English Language, Kiswahili, Literature, Physics, Chemistry, French, Arabic, Fine Arts, Computer Science, Physical Education, Accountancy",4.0,200,3,
101,"Institute of Rural Development Planning (IRDP), Dodoma",3.,Bachelor Degree in Population and Development Planning Development Planning,RD003,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Nutrition, Agriculture, Biology, English Language, Kiswahili, Literature, Physics, Chemistry, French, Arabic, Fine Arts, Computer Science, Physical Education, Accountancy.",4.0,200,3,
101,"Institute of Rural Development Planning (IRDP), Dodoma",4.,Bachelor Degree in Regional Development Planning,RD004,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Nutrition, Agriculture, Biology, English Language, Kiswahili, Literature, Physics, Chemistry, French, Arabic, Fine Arts, Computer Science, Physical Education, Accountancy.",4.0,100,3,
102,"Institute of Rural Development Planning (IRDP), Dodoma",5.,Bachelor Degree in Human Resource Management,RD005,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Nutrition, Agriculture, Biology, English Language, Kiswahili, Literature, Physics, Chemistry, French, Arabic, Fine Arts, Computer Science, Physical Education, Accountancy.",4.0,100,3,
102,"Institute of Rural Development Planning (IRDP), Dodoma",6.,Bachelor Degree in Urban Development and Environmental Management,RD006,"Two principal passes in the following subjects: Geography, Biology, Agriculture, Chemistry, Physics, History, Kiswahili, Accountancy, Commerce, English, Advanced Mathematics or Economics, Mathematics, Computer science, Chines, Physical Education, Nutrition, French, Fine art",4.0,200,4,
102,"Institute of Rural Development Planning (IRDP), Dodoma",7.,Bachelor Degree in Economics,RD007,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Nutrition, Agriculture, Biology, English Language, Kiswahili, Literature, Physics, Chemistry, French, Arabic, Fine Arts, Computer Science, Physical Education, Accountancy.",4.0,200,3,
103,"Institute of Rural Development Planning (IRDP), Dodoma",8.,Bachelor Degree in Community Development,RD008,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Nutrition, Agriculture, Biology, English Language, Kiswahili, Literature, Physics, Chemistry, French, Arabic, Fine Arts, Computer Science, Physical Education, Accountancy.",4.0,350,3,
103,"Institute of Rural Development Planning (IRDP), Dodoma",9.,Bachelor Degree in Business Administration,RD009,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Nutrition, Agriculture, Biology, English Language, Kiswahili, Literature, Physics, Chemistry, French, Arabic, Fine Arts, Computer Science, Physical Education, Accountancy.",4.0,200,3,
103,"Institute of Rural Development Planning (IRDP), Dodoma",10.,Bachelor Degree in Project Planning and Management,RD010,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Nutrition, Agriculture, Biology, English Language, Kiswahili, Literature, Physics, Chemistry, French, Arabic, Fine Arts, Computer Science, Physical Education, Accountancy",4.0,300,3,
104,"Institute of Rural Development Planning (IRDP), Dodoma",11.,Bachelor Degree in Local Government Administration and Management,RD011,"Two principal passes in the following subjects: Economics, Commerce, Geography, History, Kiswahili, Nutrition, French, Agriculture, Biology, English Language, Literature Kiswahili, Physics, Chemistry, Arabic, Fine Arts, Computer Sciences, Chinese, Physical Education or Advanced Mathematics.",4.0,200,3,
104,"Institute of Rural Development Planning (IRDP), Dodoma",12.,Bachelor Degree in Urban and Regional Planning,RD012,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Advanced Mathematics, Kiswahili, Nutrition, Agriculture, Biology, English Language, Literature, Physics, Chemistry, Accountancy, Computer Science or Fine Arts.",4.0,200,4,
104,"Institute of Rural Development Planning (IRDP), Dodoma",13.,Bachelor Degree in Land Management and Valuation,RD013,"Two Principal level passes in any of the following subjects: Geography, Economics, Advanced Mathematics, History, English Literature, Commerce, Accountancy, Physics, Biology, Computer Science or Chemistry. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A- level or a minimum of “C” grade in Basic Mathematics and a minimum of ‘D’ grade in English Language at O-Level",4.0,4,100,
105,"Institute of Rural Development Planning (IRDP), Dodoma",14.,Bachelor Degree in Statistics,RD014,"Two principal passes in the following subjects: Advanced Mathematics, Economics, Geography, History, Commerce, Accountancy, Physics, Chemistry or Biology. If one of the principal passes is not in Advanced Mathematics an applicant must have at least a subsidiary pass in Advanced Mathematics or Basic Applied Mathematics or a minimum of “C” grade in Basic Mathematics at O-Level.",4.0,100,3,
105,"Institute of Rural Development Planning (IRDP), Dodoma",15.,Bachelor Degree in Information Technology,RD015,"Two Principal passes in the following subjects: Advanced Mathematics, Physics, Geography, Biology, Chemistry and Economics.",4.0,100,3,
105,"Institute of Rural Development Planning (IRDP), Dodoma",16.,Bachelor Degree in Accounting and Finance,RD017,"Two principal passes in the following subjects: History, Geography, Economics, Commerce, Accountancy, Physics, Chemistry, Biology or Advanced Mathematics. If one of the principals is not Advanced Mathematics an applicant must have a subsidiary pass in Advanced Mathematics/Basic Applied Mathematics at A-Level or a “D” grade in Basic Mathematics at O-Level.",4.0,100,3,
105,"Institute of Rural Development Planning (IRDP), Dodoma",17.,Bachelor Degree in Development and Policy Analysis,RD018,"Two Principal passes in Economics, Commerce, Geography, History, Agriculture, English, Kiswahili or Advanced Mathematics.",4.0,100,3,
106,"Institute of Rural Development Planning (IRDP), Mwanza",1.,Bachelor Degree in Regional Development Planning,RDM01,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Kiswahili, Nutrition, French, Agriculture, Biology, English Language, Literature, Physics or Chemistry.",4.0,100,3,
106,"Institute of Rural Development Planning (IRDP), Mwanza",2.,Bachelor Degree in Economics,RDM02,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accounting, Advanced Mathematics, Kiswahili, Nutrition, Agriculture, Biology, English Language, Physics or Chemistry. In addition, an applicant must have a minimum of “D” grade in Mathematics at O- Level.",4.0,200,3,
106,"Institute of Rural Development Planning (IRDP), Mwanza",3.,Bachelor Degree in Project Planning and Management,RDM03,"Two principal passes in the following subjects: Economics, Geography, History, Commerce, Accountancy, Advanced Mathematics, Kiswahili, Nutrition, French, Agriculture, Biology, English Language, Literature, Physics or Chemistry.",4.0,100,3,
107,"Institute of Rural Development Planning (IRDP), Mwanza",4.,Bachelor Degree in Community Development,RDM04,"Two principal passes in the following subjects: Economics, Commerce, Geography, History, Agriculture, English, Kiswahili, Physics, Chemistry, Biology, Nutrition, or Advanced Mathematics.",4.0,100,3,
108,"Institute of Social Work (ISW), Dar es Salaam",1.,Bachelor Degree in Labour Relations and Public Management,SW001,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,150,3,
108,"Institute of Social Work (ISW), Dar es Salaam",2.,Bachelor Degree in Social Work,SW003,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition",4.0,150,3,
108,"Institute of Social Work (ISW), Dar es Salaam",3.,Bachelor Degree in Human Resource Management,SW005,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,150,3,
108,"Institute of Social Work (ISW), Dar es Salaam",4.,Bachelor of Business Administration,SW008,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,150,3,
109,"Institute of Social Work (ISW), Dar es Salaam",5.,Bachelor Degree in Alternative Dispute Resolution,SW009,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,75,3,
109,"Institute of Social Work (ISW), Dar es Salaam",6.,Bachelor Degree in Community Work with Children and Youth,SW010,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,75,3,
109,"Institute of Social Work (ISW), Dar es Salaam",7.,Bachelor Degree in Marketing and Entrepreneurship,SW011,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,75,3,
110,"Institute of Social Work (ISW) Kisangara Campus, Kilimanjaro",1.,Bachelor Degree in Social Work,SWK01,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,60,3,
111,"Institute of Tax Administration (ITA), Dar es Salaam",1.,Bachelor Degree in Customs and Tax Management,IT001,"Two principal passes in the following subjects: Accountancy, Commerce, Economics, Advanced Mathematics, Chemistry, Physics, Biology, Geography, History, or English. In addition, an applicant must have a minimum of “D” grade in English and Mathematics at O-Level.",4.0,150,3,
112,"Jordan University College (JUCo), Morogoro",1.,Bachelor of Arts with Education,JC001,"Two Principal passes in the following subjects: Kiswahili, Geography, History, English Language, Economics or Advanced Mathematics.",4.0,500,3,
112,"Jordan University College (JUCo), Morogoro",2.,Bachelor of Arts in Sociology,JC002,"Two Principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,100,3,
112,"Jordan University College (JUCo), Morogoro",3.,Bachelor of Arts in Philosophy,JC003,"Two Principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,150,3,
112,"Jordan University College (JUCo), Morogoro",4.,Bachelor of Arts in Theology,JC004,"Two Principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition OR Foundation Certificate of the OUT with a minimum GPA of 3.0",4.0,50,3,
113,"Jordan University College (JUCo), Morogoro",5.,Bachelor of Arts in Education with Religeous Studies,JC006,"Two Principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,50,3,
113,"Jordan University College (JUCo), Morogoro",6.,Bachelor of Business Administration,JC007,"Two Principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If one of the principal passes do not include Advanced Mathematics an applicant must have a subsidiary pass in Advanced Mathematics at A Level, or a minimum of “D” grade in Mathematics at O –Level.",4.0,100,3,
114,"Jordan University College (JUCo), Morogoro",7.,Bachelor of Arts in Economics,JC008,"Two Principal passes in Economics and either History, Geography, Accountancy, Commerce, Advanced Mathematics or Physics or Chemistry.",4.0,100,3,
114,"Jordan University College (JUCo), Morogoro",8.,Bachelor of Laws,JC009,"Two Principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If the principal passes do not include English or History an applicant must have a minimum of “D” grade in English or History at O-Level.",4.0,200,4,
114,"Jordan University College (JUCo), Morogoro",9.,Bachelor of Science in Psychology and Counselling,JC010,"Two Principal passes in the following subjects: History, Kiswahili, English Language, Geography, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If the principal passes do not include Biology an applicant must have a subsidiary pass in Biology at A Level or a minimum of a “D” grade in Biology at O-Level.",4.0,150,3,
115,"Jordan University College (JUCo), Morogoro",10.,Bachelor of Accounting and Finance,JC011,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If one of the Passes do not include Advanced Mathematics, an applicant must have a minimum of a “D” grade in a pass in Basic Mathematics, or Commerce or Book-keeping at O level is required.",4.0,100,3,
115,"Jordan University College (JUCo), Morogoro",11.,"Bachelor of Arts in Library, Records and Information Management",JC012,"Two Principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,100,3,
115,"Jordan University College (JUCo), Morogoro",12.,Bachelor of Science in Computer Science,JC013,"Two principal passes in the following subjects: Physics, Chemistry, Biology, Computer Studies, Agriculture, Geography or Advanced Mathematics.",4.0,200,3,
116,"Kampala International University in Tanzania (KIUT), Dar es Salaam",1.,Bachelor of Computer Science,KUC01,"Physics, Chemistry, Biology, Computer Studies, Agriculture, Geography or Advanced Mathematics",4.0,125,3,
116,"Kampala International University in Tanzania (KIUT), Dar es Salaam",2.,Bachelor of Information Technology,KUC02,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,150,3,
116,"Kampala International University in Tanzania (KIUT), Dar es Salaam",3.,Bachelor of Business Administration (Accounting),KUC03,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,125,3,
116,"Kampala International University in Tanzania (KIUT), Dar es Salaam",4.,Bachelor of Laws,KUC05,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. If one of the principal passes is not in English and History at A-Level, an applicant must have a minimum of “D” grade in English and History at O-Level.",4.0,150,3,
117,"Kampala International University in Tanzania (KIUT), Dar es Salaam",5.,Bachelor of Arts with Education,KUC06,"Two principal passes in the following subjects: Kiswahili, History, Geography or English.",4.0,150,3,
117,"Kampala International University in Tanzania (KIUT), Dar es Salaam",6.,Bachelor of Public Administration,KUC07,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,200,3,
117,"Kampala International University in Tanzania (KIUT), Dar es Salaam",7.,Bachelor of Social Work and Social Administration,KUC09,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,100,3,
117,"Kampala International University in Tanzania (KIUT), Dar es Salaam",8.,Bachelor of Business Administration (Human Resources Management) Bachelor of Business Administration (Marketing Management),KUC011 KUC012,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition. Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0 4.0,150 150,3 3,
